index,user,race_ethnicity,nationality,gender,age,state,comment,valence,rating,topic,example,notes,status_id,screen_name,text,rating_sign,mean,sd,mean_sign,adj_mean
1,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist,-1,Black People,NULL,NULL,1030618828106067968,larryelder,"To avoid poverty, one must do three things. 

1) Finish high school. 

2) Don't have a child before twenty. 

3) Get married before having a child. 

How does ""institutional/systemic/structural racism"" prevent blacks from following that formula?",-1,-1.4,1.6465452046971292,-0.6,-2.125
2,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Anti-Racist,0,Black People,NULL,NULL,1015969150936780802,dxstinyy00,"Loool ppl are acc so racist and don’t even clock...everyone chatting shit abt Samira saying the typical tings “aggressive” , “angry”.STFU ppl too quick to associate black ppl with them qualities..it’s old now",0,0.6,1.2649110640673518,0.5,1.2857142857142858
3,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist,-2,Black People,NULL,NULL,1013177429811179520,AndresenEthan,Just heard a black guy run into the ocean and yell “where the Henny at?!?!”,-1,-1.1,0.8755950357709131,-0.7,-1.375
4,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Empowering,2,Black People,NULL,NULL,1012820410793119745,gustaveblache3,Thank you @theadvocateno for highlighting the #gustaveblacheartscholarship that will send two #AfricanAmerican students from Louisiana to The School of Visual Arts in #ny for undergraduate and graduate degrees. @SVA_News @svanycalumni @KnowLouisiana #college #nola #sva #art https://t.co/FP7i1WV8Pr,1,2.6,0.5163977794943223,1,2.6
5,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist+Anti-Racist,-1,Black People,NULL,NULL,1013198591790284800,joontshakur,"Flashnews just bc you aren't offended doesn't mean other black ppl feel the same, accept that so many felt hurt and offended but you would do anything for your racist oppar even ignoring the fact that he hurted ppl from your own community with that ugly ass comment https://t.co/vbwa7kTfsm",-1,0.7,1.4944341180973264,0.4,1.6666666666666667
6,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Anti-Racist,1,Black People,NULL,NULL,1013202881795837952,GeneCuvier,"@1mh3r3f0rm3m35 @ariescuIture Racism is what is wrong. You are one person. There are millions of Black ppl living around the world. That is a multitude of experiences. Those experiences give sight that  someone would not have without it, so maybe...you should think of what you cannot see and ask about it.",1,1.8,0.7888106377466155,1,1.8
7,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist,-1,Black People,NULL,NULL,1013101822335115265,TroubledCharley,@KamalaHarris Is that how we are referring to the Tarmac meeting with Clinton and Lynch now? Yea your right Lynching should be Illegal. OOOH you meant that kind. your going to add a charge onto murder so you look good? You know its just murder right? Why you'll be getting voted out race baiter,-1,-1.6,1.3498971154211057,-0.7,-1.8888888888888888
8,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist,-2,Black People,NULL,NULL,1013210550824603648,Dash,"@Happygolucky303 @iamlivyrose @terrycrews U clearly don’t understand the position of a Black Man in America, where we get killed (or arrested if lucky) for much less than defending ourselves.",-1,0.4,1.1737877907772671,0.4,1
9,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,NULL,0,NULL,NULL,NULL,1037708224575811584,GovMikeHuckabee,Breaking wind from CNN!  Sen Cory Booker has been offered shoe deal by Nike after  his pompous grandstanding in Senate hearing.,0,-0.5,1.5811388300841898,-0.2,-2
10,d89dd73e11e18e2335ecb716a725fe07,White/Caucasian/European,Irish,Female,30,NY,NA,Racist,-1,Black People,NULL,NULL,1034326368023138304,YardleyShooting,"I abhor racism. It's hateful &amp; horrid. I'll not, however, let PC stop me commenting on issues like immigration &amp; the extraordinary % of black &amp; mixed race people now seen in advertising &amp; generally on TV. The number seen is unrepresentative &amp; evidence of media social engineering.",-1,-0.2,1.8737959096740264,-0.3,-1.5
